      Run#     PARM1     PARM5    PARM12    PARM15    PARM16    PARM17    PARM20    PARM22    PARM23    PARM25    PARM34    PARM39    PARM40    PARM42    PARM44    PARM49    PARM50    PARM51    PARM61    PARM73    PARM83    PARM87    PARM88    PARM89    PARM90    PARM91    PARM92        WA        HI   Test_OF   Best_OF
         1     2.000     0.500     2.000     0.150     1.250     0.250     0.200     0.250     0.003     1.000     0.550     0.010     0.010     1.000     1.500     7.500     0.150     0.400     0.500     0.500     1.000     1.000     0.100     0.500     8.000     0.650     1.000     1.000     1.000     8.179     8.179
         2     1.266     0.494     1.596     0.203     1.253     0.321     0.143     0.284     0.003     0.974     0.541     0.025     0.037     2.018     1.686     0.310     0.115     0.349     0.629     0.747     1.269     0.875     0.252     0.800     7.249     0.920     0.991     0.981     1.059    11.022     8.179
         3     1.964     0.672     1.823     0.150     1.261     0.225     0.087     0.217     0.003     1.196     0.533     0.013     0.010     0.913     1.152    12.189     0.138     0.269     0.494     0.385     1.000     1.000     0.100     0.492     8.892     0.622     0.843     0.986     0.995     6.937     6.937
         4     1.839     0.672     2.067     0.189     1.261     0.215     0.087     0.272     0.003     1.306     0.545     0.030     0.010     0.329     1.131    14.953     0.063     0.269     0.494     0.308     0.402     0.978     0.071     0.404     9.154     0.402     0.112     1.014     1.075    30.732     6.937
         5     1.895     0.482     1.617     0.255     1.201     0.255     0.087     0.240     0.003     1.196     0.547     0.013     0.312     0.913     1.108    12.918     0.138     0.323     0.489     0.404     1.385     0.707     0.312     0.492     9.416     0.332     0.344     0.968     0.995     5.830     5.830
         6     1.895     0.482     1.617     0.275     1.142     0.477     0.087     0.162     0.003     1.351     0.547     0.013     0.214     0.775     1.258    11.265     0.147     0.373     0.702     0.378     0.151     0.548     0.254     0.492     8.541     0.332     0.344     0.939     0.970     7.495     5.830
         7     1.756     0.482     1.900     0.223     1.201     0.255     0.106     0.240     0.003     1.196     0.514     0.013     0.312     0.913     1.262    12.918     0.138     0.323     0.051     0.536     1.385     0.645     0.410     0.492     9.416     0.035     0.264     0.968     0.761    11.771     5.830
         8     1.895     0.427     1.617     0.241     1.157     0.325     0.054     0.251     0.003     1.842     0.547     0.013     0.312     1.053     1.259    12.918     0.138     0.244     0.780     0.154     0.705     0.713     0.520     0.567     9.118     0.480     0.117     0.985     0.995    27.279     5.830
         9     1.908     0.482     1.512     0.191     1.201     0.255     0.087     0.240     0.003     1.196     0.547     0.013     0.312     0.341     1.202    12.918     0.138     0.338     0.472     0.404     1.385     0.664     0.094     0.492     9.416     0.332     0.381     0.938     0.819     1.681     1.681
        10     1.908     0.532     1.676     0.070     1.104     0.241     0.073     0.284     0.003     0.662     0.547     0.064     0.238     0.341     1.202    11.594     0.138     0.338     0.485     0.423     1.464     0.664     0.094     0.492     7.703     0.141     0.381     0.926     0.878     8.930     1.681
        11     1.908     0.482     1.558     0.191     1.201     0.255     0.087     0.240     0.003     0.960     0.555     0.045     0.312     0.950     1.202    12.918     0.159     0.338     0.472     0.398     3.514     0.799     0.094     0.492     9.416     0.332     0.381     0.920     0.758     2.900     1.681
